State,Month,Day_of_Week,Time_of_Day,Weather_Conditions,Road_Conditions,Light_Conditions,Type_of_Road,Death By Road Type,Type_of_Junction,Type_of_Accident,Vehicle_Type,Death By Vehicle Type,Driver_Age_Group,Num_Vehicles_Involved,Category_Of_Num_Vehicles,Total_Death_Crashes_By_Category,Num_Casualties,Speed_Limit,Distance_to_Nearest_Hospital,Distance_to_Nearest_Police_Station,Visibility,Road_Width,Road_Surface_Friction_Coefficient,Vehicle_Speed,Time_Taken_for_Emergency_Response,Speeding_Violation,Speeding_Factor,Hospital_Distance_Range,Population,"Deaths per 100,000 population",Deaths Due To Alcohol Involvement,Percentage Of Seat Belt Usage,Deaths With Seat Belt,Deaths Without Seat Belt
Alabama,1,Thursday,09:19:29,Rainy,Muddy,Daylight,Freeway,1,Crossroads,Head-on collision,Motorcycle,97,Teenager,1,Single-vehicle,531,1.0,65.0,6.804968596,9.725785445,141.1852786,8.828140818,0.550631749,5.0,11.02547113,False,0.0769230769230769,6-10 km,5074296,19.5,344,93,283,364
Arkansas,1,Tuesday,15:42:55,Snowy,Icy,Daylight,Rural,359,Crossroads,Run-off-road,Bicycle,6,Teenager,3,Multiple-vehicle,317,2.0,45.0,0.804218676,4.006665901,604.3193743,9.285086732,0.253850635,80.0,15.28852626,True,1.7777777777777777,0-3 km,3045637,21.1,237,79,165,191
Virginia,1,Saturday,05:22:50,Stormy,Icy,Dawn,Urban,494,Intersection,Pedestrian involved,Motorcycle,118,Senior,5,Multiple-vehicle,429,3.0,39.0,0.478336497,4.683327455,986.830141,5.949485197,0.248693813,46.0,5.078455953,True,1.1794871794871795,0-3 km,8683619,11.6,414,76,280,379
Hawaii,1,Thursday,15:57:28,Sunny,Dry,Daylight,Highway,1,Crossroads,Cyclist involved,Pedestrian,28,Senior,2,Multiple-vehicle,50,3.0,34.0,8.807155139,1.219766571,609.765578,6.736399409,0.8146238,47.0,25.42987871,True,1.3823529411764706,6-10 km,1440196,8.1,28,96,24,16
Michigan,1,Saturday,13:05:28,Snowy,Wet,Daylight,Rural,425,Roundabout,Pedestrian involved,Motorcycle,179,Teenager,4,Multiple-vehicle,546,1.0,37.0,2.315701997,3.915588084,857.5621504,9.845694419,0.879799608,34.0,9.711695119,False,0.918918918918919,0-3 km,10034113,11.2,180,93,333,233
Iowa,2,Tuesday,22:10:19,Stormy,Icy,Night,Street,2,T-Junction,Cyclist involved,Pedestrian,16,Teenager,1,Single-vehicle,174,0.0,48.0,1.659223275,0.146449547,868.8906481,5.143567191,0.719682165,47.0,9.711695119,False,0.9791666666666666,0-3 km,3200517,10.6,92,96,107,104
Texas,2,Sunday,11:38:32,Snowy,Dry,Daylight,Freeway,6,Intersection,Rear-end collision,Bicycle,91,Adult,5,Multiple-vehicle,2,3.0,52.0,9.309591105,7.280334819,656.0652895,4.357902916,0.328940498,3.0,29.81136184,False,0.0576923076923076,6-10 km,30029572,14.7,1,90,1,1
Illinois,2,Monday,22:37:39,Sunny,Snowy,Night,Highway,8,Overpass,Pedestrian involved,Truck,26,Senior,4,Multiple-vehicle,647,3.0,37.0,2.448146172,9.332530246,556.9893713,8.012193692,0.871951893,65.0,12.29011902,True,1.7567567567567568,0-3 km,12582032,10.1,367,93,339,276
Iowa,2,Wednesday,05:44:09,Foggy,Icy,Dawn,Street,2,Crossroads,Rear-end collision,Truck,16,Teenager,5,Multiple-vehicle,164,1.0,32.0,2.750988359,5.460444902,371.4519772,8.012193692,0.1869094,89.0,19.59238087,True,2.78125,0-3 km,3200517,10.6,92,96,107,104
New Hampshire,2,Tuesday,04:12:54,Snowy,Dry,Night,Highway,0,Crossroads,Head-on collision,Motorcycle,32,Senior,2,Multiple-vehicle,64,0.0,55.0,4.400882799,5.750591012,954.3446912,5.454758737,0.363364459,87.0,10.57737923,True,1.5818181818181818,3-6 km,1395231,10.5,66,77,26,55
Indiana,1,Friday,03:01:47,Snowy,Dry,Night,Urban,379,Underpass,Cyclist involved,Motorcycle,126,Senior,3,Multiple-vehicle,483,1.0,37.0,2.136911363,3.620842312,985.9343228,3.850338431,0.76620726,87.0,16.02559106,False,2.3513513513513518,0-3 km,6833037,13.9,127,93,261,232
Hawaii,2,Wednesday,19:35:51,Rainy,Wet,Night,Rural,14,Overpass,Rear-end collision,Pedestrian,28,Teenager,5,Multiple-vehicle,50,0.0,50.0,8.428106749,3.075561267,320.6582401,6.741034183,0.289508281,31.0,14.33749994,False,0.62,6-10 km,1440196,8.1,28,96,24,16
Arizona,1,Tuesday,18:14:42,Rainy,Snowy,Dusk,Urban,849,Overpass,Cyclist involved,Motorcycle,232,Teenager,2,Multiple-vehicle,608,2.0,51.0,7.551530584,1.066861518,398.1036243,6.741034183,0.413203799,31.0,29.12055067,False,0.6078431372549019,6-10 km,7359197,17.7,189,87,241,269
New Hampshire,2,Friday,21:02:26,Stormy,Wet,Night,Street,0,Crossroads,Pedestrian involved,Bicycle,3,Teenager,1,Single-vehicle,82,3.0,40.0,9.976733302,1.642897434,706.1669727,7.50837038,0.156560929,50.0,7.495783649,True,1.25,6-10 km,1395231,10.5,66,77,26,55
Montana,1,Tuesday,18:32:27,Rainy,Muddy,Dusk,Urban,43,Crossroads,Cyclist involved,Motorcycle,37,Young Adult,4,Multiple-vehicle,91,3.0,47.0,0.232447855,1.072033427,117.9202839,9.393841014,0.349315016,75.0,25.93393927,True,1.5957446808510638,0-3 km,1122867,19.0,97,93,52,85
South Carolina,1,Wednesday,15:03:13,Sunny,Icy,Daylight,Rural,615,Underpass,Rollover,Truck,13,Adult,1,Single-vehicle,603,3.0,56.0,6.618841224,2.142032496,371.0937849,6.878330538,0.362119745,20.0,5.509141012,False,0.3571428571428571,6-10 km,5282634,20.7,441,91,284,380
Hawaii,1,Friday,20:50:17,Stormy,Icy,Night,Street,1,Overpass,Head-on collision,Motorcycle,33,Adult,3,Multiple-vehicle,50,3.0,62.0,1.083707454,7.668953309,654.6885301,8.576086852,0.788828905,11.0,13.10374567,False,0.1774193548387097,0-3 km,1440196,8.1,28,96,24,16
Louisiana,2,Tuesday,07:35:04,Stormy,Snowy,Daylight,Street,14,Overpass,Pedestrian involved,Motorcycle,91,Young Adult,5,Multiple-vehicle,391,3.0,65.0,1.116163584,3.982685037,950.0400491,3.741159649,0.992829142,11.0,10.04162108,False,0.1692307692307692,0-3 km,4590241,19.7,362,86,205,282
South Carolina,2,Thursday,12:29:11,Foggy,Snowy,Daylight,Freeway,0,Roundabout,Rear-end collision,Truck,13,Adult,2,Multiple-vehicle,491,2.0,60.0,7.301243452,2.870115412,134.0776297,4.67176419,0.655203995,99.0,22.23648494,True,1.65,6-10 km,5282634,20.7,441,91,284,380
North Dakota,1,Sunday,13:22:20,Rainy,Dry,Daylight,Urban,16,Intersection,Run-off-road,Car,13,Senior,4,Multiple-vehicle,55,3.0,59.0,2.507498273,8.011960066,853.0388885,9.045141593,0.466023739,81.0,10.0963021,True,1.3728813559322033,0-3 km,779261,12.6,41,81,13,41
South Dakota,2,Monday,16:51:27,Rainy,Icy,Daylight,Rural,109,Underpass,Cyclist involved,Pedestrian,11,Young Adult,3,Multiple-vehicle,61,1.0,46.0,2.811543465,5.151248576,831.3292084,9.004799756,0.280885227,84.0,29.02235704,True,1.826086956521739,0-3 km,909824,15.1,28,88,35,51
Kansas,2,Monday,07:41:40,Stormy,Dry,Daylight,Freeway,1,Roundabout,Head-on collision,Pedestrian,32,Adult,1,Single-vehicle,220,0.0,60.0,1.101851333,0.13184296,189.4987193,7.895051132,0.748572084,81.0,6.839412706,True,1.35,0-3 km,2937150,14.0,116,87,114,148
Rhode Island,1,Thursday,09:00:29,Stormy,Snowy,Daylight,Rural,13,Underpass,Rollover,Pedestrian,7,Teenager,3,Multiple-vehicle,15,3.0,30.0,3.932046558,8.793456457,574.9382132,7.895051132,0.114923678,81.0,15.11650206,False,2.7,3-6 km,1093734,4.8,22,87,14,19
Utah,1,Friday,19:24:12,Stormy,Muddy,Night,Rural,113,Intersection,Rear-end collision,Motorcycle,50,Senior,1,Single-vehicle,180,0.0,66.0,9.507289108,2.996588064,125.9411619,6.233334271,0.726212424,69.0,16.07933446,True,1.0454545454545454,6-10 km,3380800,9.4,117,90,80,87
South Carolina,2,Wednesday,14:15:08,Rainy,Dry,Daylight,Highway,0,Roundabout,Cyclist involved,Car,365,Senior,3,Multiple-vehicle,491,3.0,47.0,9.915625365,6.381816659,169.0880809,7.638533599,0.542107198,2.0,25.76513856,False,0.0425531914893617,6-10 km,5282634,20.7,441,91,284,380
Iowa,2,Saturday,11:06:32,Rainy,Wet,Daylight,Urban,100,Underpass,Run-off-road,Truck,16,Senior,5,Multiple-vehicle,164,2.0,62.0,2.435469365,1.766497408,130.2069584,7.921895782,0.421811379,99.0,14.01731646,True,1.596774193548387,0-3 km,3200517,10.6,92,96,107,104
Alabama,2,Wednesday,17:00:27,Rainy,Wet,Daylight,Freeway,1,T-Junction,Pedestrian involved,Car,380,Senior,1,Single-vehicle,531,1.0,49.0,6.423583349,2.433199496,176.4031177,6.438357207,0.124907064,99.0,28.6457915,False,2.020408163265306,6-10 km,5074296,19.5,344,93,283,364
Michigan,2,Monday,01:04:33,Snowy,Dry,Night,Street,9,Overpass,Rollover,Car,331,Senior,5,Multiple-vehicle,546,0.0,70.0,3.327940662,7.205691192,211.403134,4.838009163,0.742521144,19.0,13.66908578,False,0.2714285714285714,3-6 km,10034113,11.2,180,93,333,233
Maine,1,Sunday,10:48:59,Snowy,Icy,Daylight,Rural,153,Underpass,Run-off-road,Motorcycle,32,Teenager,1,Single-vehicle,109,1.0,38.0,6.033478287,2.761000536,191.0068036,3.238241139,0.713177682,24.0,23.63952933,False,0.631578947368421,6-10 km,1385340,13.1,82,93,58,65
Nebraska,2,Sunday,22:05:33,Rainy,Icy,Night,Rural,149,Roundabout,Run-off-road,Motorcycle,29,Adult,2,Multiple-vehicle,151,0.0,35.0,2.093112438,5.890929374,293.6635341,4.263690515,0.311177766,28.0,24.96432517,False,0.8,0-3 km,1967923,12.4,106,76,62,86
Arkansas,2,Thursday,21:09:52,Snowy,Icy,Night,Rural,359,T-Junction,Side collision,Pedestrian,79,Young Adult,2,Multiple-vehicle,317,0.0,35.0,7.53346355,5.786584487,597.8343374,6.151911683,0.384961068,23.0,22.294932,False,0.6571428571428571,6-10 km,3045637,21.1,237,79,165,191
Washington,1,Tuesday,17:11:14,Snowy,Icy,Daylight,Rural,293,Intersection,Side collision,Car,240,Young Adult,4,Multiple-vehicle,342,1.0,48.0,8.909764119,1.406483006,631.4453298,6.151911683,0.638694985,23.0,22.294932,False,0.4791666666666667,6-10 km,7785786,9.4,240,94,212,156
Connecticut,1,Sunday,01:52:45,Stormy,Icy,Night,Street,4,Intersection,Side collision,Bicycle,3,Adult,5,Multiple-vehicle,170,1.0,33.0,2.337129212,7.040941467,412.3987161,9.990799244,0.732770782,89.0,16.19747498,True,2.696969696969697,0-3 km,3626205,9.9,141,92,83,76
Alabama,1,Tuesday,16:29:27,Rainy,Wet,Daylight,Freeway,1,Underpass,Side collision,Bicycle,14,Teenager,4,Multiple-vehicle,457,3.0,60.0,8.575960645,1.812254513,305.611874,7.178243421,0.248910783,89.0,11.33413173,False,1.4833333333333334,6-10 km,5074296,19.5,344,93,283,364
New Jersey,1,Friday,01:04:48,Stormy,Wet,Night,Freeway,5,Crossroads,Rear-end collision,Bicycle,18,Adult,5,Multiple-vehicle,328,0.0,60.0,7.21098598,8.989941752,782.8524322,7.075632524,0.564102547,22.0,23.53800494,False,0.3666666666666666,6-10 km,9261699,7.4,235,93,196,141
Kentucky,1,Friday,05:36:03,Rainy,Muddy,Dawn,Highway,1,Crossroads,Rollover,Truck,17,Adult,2,Multiple-vehicle,336,3.0,40.0,5.578025037,4.07412621,388.810748,3.83204957,0.252569142,56.0,7.96518819,True,1.4,3-6 km,4512310,16.5,275,87,230,256
Vermont,1,Wednesday,19:14:34,Sunny,Muddy,Night,Rural,64,Roundabout,Side collision,Bicycle,1,Young Adult,1,Single-vehicle,43,0.0,51.0,2.151443505,6.073134531,377.8526358,8.700792725,0.583228399,61.0,12.95479943,True,1.196078431372549,0-3 km,647064,11.7,31,90,18,27
Virginia,2,Thursday,15:26:15,Sunny,Snowy,Daylight,Rural,511,Overpass,Run-off-road,Motorcycle,118,Adult,3,Multiple-vehicle,429,1.0,56.0,1.716646169,2.579442636,981.4258181,5.134839855,0.543735468,0.0,12.95479943,False,0.0,0-3 km,8683619,11.6,414,76,280,379
West Virginia,2,Monday,00:06:12,Stormy,Wet,Night,Highway,1,Underpass,Rear-end collision,Motorcycle,42,Adult,5,Multiple-vehicle,103,1.0,48.0,6.580029805,2.042869498,597.6968202,5.134839855,0.791174319,89.0,24.87459764,True,1.8541666666666667,6-10 km,1775156,14.9,102,93,57,85
West Virginia,1,Friday,00:35:45,Snowy,Wet,Night,Rural,174,Intersection,Run-off-road,Bicycle,2,Senior,5,Multiple-vehicle,103,0.0,64.0,7.889523838,6.126872716,437.8740814,7.445776939,0.824652033,67.0,7.148906096,True,1.046875,6-10 km,1775156,14.9,102,93,57,85
Missouri,2,Thursday,14:42:18,Snowy,Dry,Daylight,Rural,550,Roundabout,Rollover,Pedestrian,128,Young Adult,4,Multiple-vehicle,495,0.0,31.0,4.414622009,0.907822967,637.7098273,9.9098374,0.24328676,67.0,25.07203744,False,2.161290322580645,3-6 km,6177957,17.1,396,89,245,369
Louisiana,1,Sunday,21:39:19,Foggy,Dry,Night,Rural,402,Intersection,Cyclist involved,Truck,16,Teenager,3,Multiple-vehicle,391,0.0,31.0,4.282830516,9.501149855,844.6527077,3.348786258,0.947061829,83.0,23.12663322,False,2.677419354838709,3-6 km,4590241,19.7,362,86,205,282
Mississippi,1,Wednesday,03:46:52,Foggy,Wet,Night,Urban,205,Overpass,Head-on collision,Truck,14,Senior,3,Multiple-vehicle,308,0.0,31.0,4.672295535,5.437524291,841.0245077,9.476821853,0.226202734,45.0,23.12663322,False,1.4516129032258065,3-6 km,2940057,23.9,17,79,227,200
Nebraska,2,Monday,10:34:18,Foggy,Muddy,Daylight,Urban,95,Overpass,Rear-end collision,Motorcycle,29,Adult,2,Multiple-vehicle,151,0.0,36.0,9.45837601,4.99526739,608.0857141,3.230671216,0.650511959,100.0,16.89457061,True,2.7777777777777777,6-10 km,1967923,12.4,106,76,62,86
Michigan,1,Sunday,18:23:46,Rainy,Muddy,Dusk,Rural,425,Underpass,Side collision,Truck,7,Young Adult,1,Single-vehicle,578,2.0,62.0,0.362656996,5.215630818,979.1623137,3.230671216,0.636317182,52.0,24.35420446,False,0.8387096774193549,0-3 km,10034113,11.2,180,93,333,233
Mississippi,2,Wednesday,12:56:15,Rainy,Icy,Daylight,Urban,205,Roundabout,Cyclist involved,Bicycle,17,Adult,3,Multiple-vehicle,308,3.0,46.0,1.708608346,8.641816799,816.6296306,8.134047162,0.259036129,0.0,15.26179599,False,0.0,0-3 km,2940057,23.9,17,79,227,200
Kansas,1,Sunday,01:10:32,Stormy,Snowy,Night,Rural,245,T-Junction,Run-off-road,Car,140,Adult,3,Multiple-vehicle,190,0.0,59.0,7.778161597,7.981751398,879.7208089,5.261452527,0.448906244,74.0,7.312508291,True,1.2542372881355932,6-10 km,2937150,14.0,116,87,114,148
New Mexico,2,Wednesday,01:05:21,Foggy,Wet,Night,Freeway,0,Crossroads,Cyclist involved,Truck,16,Young Adult,2,Multiple-vehicle,210,2.0,30.0,5.801856248,2.550405324,601.9909367,5.261452527,0.253243021,21.0,24.01085177,False,0.7,3-6 km,2113344,22.1,150,90,119,148
Massachusetts,1,Monday,13:05:26,Sunny,Muddy,Daylight,Freeway,4,Crossroads,Rear-end collision,Car,163,Senior,4,Multiple-vehicle,168,3.0,31.0,2.987192811,2.920483263,381.1526138,8.626619848,0.901663277,21.0,26.0310138,False,0.6774193548387096,0-3 km,6981974,6.2,204,77,96,137
Tennessee,1,Saturday,04:38:04,Stormy,Dry,Night,Rural,535,Underpass,Side collision,Pedestrian,210,Teenager,4,Multiple-vehicle,604,3.0,55.0,1.88175118,5.53570464,549.8223801,9.548180793,0.818553661,96.0,28.45430479,True,1.7454545454545454,0-3 km,7051339,18.6,446,91,378,438
West Virginia,2,Tuesday,07:53:58,Stormy,Wet,Daylight,Highway,1,T-Junction,Head-on collision,Truck,6,Adult,2,Multiple-vehicle,103,0.0,36.0,7.128307743,4.791212195,279.3756831,9.425498906,0.946196896,20.0,21.40026321,False,0.5555555555555556,6-10 km,1775156,14.9,102,93,57,85
South Dakota,1,Friday,15:45:59,Snowy,Wet,Daylight,Freeway,0,Underpass,Cyclist involved,Bicycle,2,Adult,4,Multiple-vehicle,61,2.0,36.0,0.801063354,9.458216095,881.4863784,7.525662742,0.623405972,14.0,15.59772448,False,0.3888888888888889,0-3 km,909824,15.1,28,88,35,51
West Virginia,1,Tuesday,04:13:46,Sunny,Snowy,Night,Freeway,1,Roundabout,Side collision,Motorcycle,42,Young Adult,4,Multiple-vehicle,103,0.0,36.0,2.595169332,1.623524615,997.022012,3.842999184,0.309832355,85.0,25.99157734,False,2.361111111111111,0-3 km,1775156,14.9,102,93,57,85
Delaware,2,Wednesday,11:12:02,Rainy,Dry,Daylight,Rural,81,Crossroads,Rollover,Car,60,Teenager,2,Multiple-vehicle,95,0.0,36.0,5.693117759,8.671045257,112.637166,3.842999184,0.132134851,88.0,23.03908506,False,2.4444444444444446,3-6 km,1018396,15.9,46,90,61,36
Connecticut,1,Saturday,03:45:58,Snowy,Icy,Night,Rural,42,Crossroads,Rear-end collision,Pedestrian,68,Young Adult,5,Multiple-vehicle,170,0.0,39.0,4.065002637,1.700614584,722.5638955,5.805984735,0.235404003,88.0,25.30761311,False,2.2564102564102564,3-6 km,3626205,9.9,141,92,83,76
Connecticut,1,Monday,15:17:17,Sunny,Muddy,Daylight,Rural,42,T-Junction,Pedestrian involved,Motorcycle,67,Teenager,1,Single-vehicle,189,2.0,48.0,8.783973526,2.206250882,985.5179922,8.59949559,0.46294349,62.0,16.58786228,True,1.2916666666666667,6-10 km,3626205,9.9,141,92,83,76
North Carolina,1,Sunday,08:34:32,Sunny,Muddy,Daylight,Freeway,0,Crossroads,Rollover,Truck,33,Teenager,2,Multiple-vehicle,753,0.0,35.0,8.085345901,4.002566036,880.9592783,3.664209848,0.904115752,98.0,20.24589886,True,2.8,6-10 km,10698973,15.2,384,91,530,512
Oregon,1,Wednesday,02:58:08,Stormy,Dry,Night,Rural,322,Underpass,Rollover,Car,191,Young Adult,5,Multiple-vehicle,265,0.0,37.0,7.472376456,6.180691576,625.6315807,7.625291148,0.420116269,79.0,10.67323323,True,2.135135135135135,6-10 km,4240137,14.2,210,97,193,110
West Virginia,1,Wednesday,23:36:18,Snowy,Wet,Night,Rural,174,Overpass,Rollover,Pedestrian,21,Adult,3,Multiple-vehicle,103,2.0,31.0,3.469591159,7.460362253,489.7554543,9.693573234,0.150541327,32.0,10.67323323,True,1.032258064516129,3-6 km,1775156,14.9,102,93,57,85
Arizona,2,Monday,01:06:52,Snowy,Snowy,Night,Urban,849,Roundabout,Side collision,Motorcycle,232,Senior,5,Multiple-vehicle,608,2.0,34.0,4.39200128,3.880114863,495.5339516,4.881759851,0.249497302,32.0,20.45611539,False,0.9411764705882352,3-6 km,7359197,17.7,189,87,241,269
Missouri,2,Sunday,04:30:38,Sunny,Wet,Night,Rural,550,Roundabout,Cyclist involved,Truck,32,Adult,4,Multiple-vehicle,495,0.0,42.0,2.005954575,5.682005703,705.4366722,9.901917273,0.727382331,87.0,25.51304866,True,2.071428571428572,0-3 km,6177957,17.1,396,89,245,369
Texas,1,Wednesday,03:23:16,Sunny,Muddy,Night,Rural,1,Overpass,Pedestrian involved,Bicycle,91,Young Adult,4,Multiple-vehicle,2,3.0,50.0,2.528128821,9.403276011,231.7057779,5.563460146,0.630241363,67.0,17.60196877,True,1.34,0-3 km,30029572,14.7,1,90,1,1
Colorado,1,Sunday,13:58:49,Sunny,Wet,Daylight,Freeway,2,Overpass,Run-off-road,Pedestrian,108,Adult,3,Multiple-vehicle,367,2.0,34.0,9.176211021,7.763625369,771.2387747,8.289157951,0.410022869,85.0,18.98064942,True,2.5,6-10 km,5839926,13.1,288,87,225,235
Washington,2,Sunday,18:14:04,Sunny,Icy,Dusk,Rural,293,Intersection,Rear-end collision,Motorcycle,133,Teenager,5,Multiple-vehicle,342,2.0,64.0,2.404782164,3.578454367,658.2650572,8.163821609,0.287231456,97.0,22.54668391,True,1.515625,0-3 km,7785786,9.4,240,94,212,156
Indiana,2,Sunday,13:09:50,Sunny,Wet,Daylight,Urban,379,Underpass,Run-off-road,Truck,22,Adult,3,Multiple-vehicle,483,2.0,67.0,7.342616721,2.831019037,788.0668485,5.146620687,0.114370614,61.0,22.85120318,False,0.9104477611940298,6-10 km,6833037,13.9,127,93,261,232
Delaware,1,Tuesday,23:22:20,Foggy,Wet,Night,Urban,81,Overpass,Pedestrian involved,Bicycle,6,Young Adult,4,Multiple-vehicle,95,1.0,66.0,3.412233739,3.603574047,636.84235,4.287252836,0.416241844,8.0,23.39314211,False,0.1212121212121212,3-6 km,1018396,15.9,46,90,61,36
Alabama,2,Monday,20:28:28,Foggy,Wet,Night,Highway,1,Overpass,Cyclist involved,Motorcycle,97,Adult,3,Multiple-vehicle,457,1.0,40.0,4.076131934,0.411572186,822.9736561,8.782301606,0.306228624,91.0,26.39659176,True,2.275,3-6 km,5074296,19.5,344,93,283,364
Georgia,1,Wednesday,20:33:21,Foggy,Muddy,Night,Street,1,Overpass,Cyclist involved,Truck,51,Teenager,1,Single-vehicle,1,0.0,65.0,3.982682622,4.578181952,280.5431561,5.034720633,0.348117049,91.0,10.02149681,False,1.4,3-6 km,10912876,16.5,466,89,461,527
Alaska,1,Friday,12:58:08,Snowy,Wet,Daylight,Rural,39,Overpass,Run-off-road,Car,27,Teenager,3,Multiple-vehicle,44,0.0,46.0,8.565111198,8.395286595,187.5299277,7.684485864,0.668618382,58.0,7.476189872,True,1.2608695652173914,6-10 km,733583,11.2,39,92,31,17
Kansas,1,Thursday,22:38:04,Foggy,Wet,Night,Urban,164,Underpass,Rollover,Truck,16,Young Adult,1,Single-vehicle,220,2.0,64.0,3.530624122,3.482538399,653.7869706,6.05627589,0.327268683,80.0,14.48432602,True,1.25,3-6 km,2937150,14.0,116,87,114,148
Washington,1,Saturday,09:14:01,Foggy,Wet,Daylight,Freeway,6,T-Junction,Head-on collision,Bicycle,11,Teenager,1,Single-vehicle,391,0.0,35.0,6.267084336,0.947888302,527.6745352,5.460470079,0.157687131,57.0,29.2264212,True,1.6285714285714286,6-10 km,7785786,9.4,240,94,212,156
Texas,2,Thursday,12:20:15,Sunny,Icy,Daylight,Urban,2,Intersection,Side collision,Car,1,Young Adult,3,Multiple-vehicle,2,0.0,36.0,5.066112069,3.166919735,798.7163216,3.916442099,0.928066354,29.0,8.986086773,False,0.8055555555555556,3-6 km,30029572,14.7,1,90,1,1
Colorado,2,Thursday,04:07:12,Sunny,Muddy,Night,Urban,463,Roundabout,Side collision,Bicycle,15,Adult,5,Multiple-vehicle,367,0.0,56.0,8.614161607,3.402111167,305.1131765,6.448467705,0.206769797,58.0,21.8951061,True,1.0357142857142858,6-10 km,5839926,13.1,288,87,225,235
Wisconsin,2,Thursday,21:24:45,Snowy,Snowy,Night,Freeway,1,Crossroads,Head-on collision,Car,233,Young Adult,3,Multiple-vehicle,276,0.0,56.0,2.620087119,5.339443485,388.1186078,5.70352605,0.252833919,100.0,23.7618447,False,1.7857142857142858,0-3 km,5892539,10.1,60,88,166,166
Pennsylvania,2,Saturday,12:04:07,Foggy,Dry,Daylight,Freeway,3,Crossroads,Run-off-road,Car,393,Adult,3,Multiple-vehicle,575,1.0,58.0,3.271988181,2.171733662,593.4948038,9.441988856,0.377746337,59.0,14.91830076,True,1.0172413793103448,3-6 km,12972008,9.1,320,90,263,342
Utah,2,Sunday,16:12:49,Snowy,Dry,Daylight,Rural,113,Crossroads,Rollover,Truck,8,Teenager,2,Multiple-vehicle,139,2.0,53.0,6.662389939,4.209974814,626.4760654,3.584059655,0.655508085,96.0,14.91830076,True,1.8113207547169807,6-10 km,3380800,9.4,117,90,80,87
New Hampshire,2,Wednesday,11:19:06,Snowy,Snowy,Daylight,Urban,69,Overpass,Rollover,Motorcycle,32,Adult,4,Multiple-vehicle,64,3.0,33.0,6.176209309,8.946573297,520.8043184,8.111980897,0.802611731,82.0,25.73134726,True,2.484848484848485,6-10 km,1395231,10.5,66,77,26,55
Arkansas,1,Saturday,21:34:58,Snowy,Snowy,Night,Rural,359,Overpass,Run-off-road,Car,204,Adult,5,Multiple-vehicle,317,0.0,33.0,0.946859948,4.629938294,932.1537362,3.387766793,0.124982669,52.0,25.73134726,False,1.5757575757575757,0-3 km,3045637,21.1,237,79,165,191
Rhode Island,1,Tuesday,08:40:08,Sunny,Icy,Daylight,Urban,38,Intersection,Rollover,Bicycle,0,Senior,4,Multiple-vehicle,15,1.0,53.0,6.494777004,8.630815713,258.0305387,4.045839658,0.502543373,43.0,9.92964525,False,0.8113207547169812,6-10 km,1093734,4.8,22,87,14,19
Nevada,1,Sunday,18:22:04,Rainy,Snowy,Dusk,Freeway,0,Intersection,Run-off-road,Truck,9,Young Adult,2,Multiple-vehicle,181,0.0,40.0,5.005704703,9.881901676,318.094247,3.075952604,0.664300102,1.0,12.58939932,False,0.025,3-6 km,3177772,13.1,110,93,87,84
Wisconsin,2,Wednesday,19:01:08,Rainy,Wet,Night,Street,1,Crossroads,Run-off-road,Motorcycle,82,Senior,1,Single-vehicle,320,1.0,30.0,1.198069663,4.163228844,195.821405,3.075952604,0.670995394,56.0,12.75560599,True,1.8666666666666667,0-3 km,5892539,10.1,60,88,166,166
Georgia,1,Thursday,13:49:46,Foggy,Snowy,Daylight,Rural,637,Underpass,Rear-end collision,Motorcycle,221,Young Adult,2,Multiple-vehicle,787,2.0,47.0,2.731202313,4.548274779,252.8664852,4.5554309,0.271099464,34.0,15.35701667,False,0.723404255319149,0-3 km,10912876,16.5,466,89,461,527
